"character_id","code","display_name","character_resource","animation_resource","face_animation_resource","camera_animation_resource","action_resource","command_resource","ai_resource"
"0x0","GOK","Goku","GOK","GOK","GOK","GOK","GOK","GOK","../GOK/GOKa"
"0x1","BDK","Bardock","BDK","BDK","BDK","BDK","BDK","BDK","../BRL/BRL"
"0x2","GK4","Goku (GT) (Super Saiyan 4)","GK4","GK4","GK4","GK4","GK4","GK4","../CL4/CL4"
"0x3","GOD","Goku (Super Saiyan God)","GOD","../GOK/GOK","GOD","../GOK/GOK","../GOK/GOK","../GOK/GOK","../GOD/GOD"
"0x4","GKG","Goku (GT)","GKG","GKG","GKG","GKG","GKG","GKG","../CL4/CL4"
"0x5","GTG","Goten","GTG","GTG","GTG","GTG","GTG","GTG","../GTG/GTG"
"0x6","GHS","Gohan (Kid)","GHS","GHS","GHS","GHS","GHS","GHS","../PIC/PIC"
"0x7","GHM","Gohan (Youth)","GHM","GHM","GHM","GHM","GHM","GHM","../GHM/GHM"
"0x8","GHL","Gohan","GHL","GHL","GHL","GHL","GHL","GHL","../GHL/GHL"
"0x9","PIC","Piccolo","PIC","PIC","PIC","PIC","PIC","PIC","../PIC/PIC"
"0xa","KLL","Krillin","KLL","KLL","KLL","KLL","KLL","KLL","../KLL/KLLa"
"0xb","YMC","Yamcha","YMC","YMC","YMC","YMC","YMC","YMC","../YMC/YMCa"
"0xc","TSH","Tien","TSH","TSH","TSH","TSH","TSH","TSH","../TSH/TSH"
"0xd","RAD","Raditz","RAD","RAD","RAD","RAD","RAD","RAD","../RAD/RAD"
"0xe","SBM","Kaiwareman","SBM","SBM","SBM","SBM","SBM","SBM","../STN/STN"
"0xf","NAP","Nappa","NAP","NAP","NAP","NAP","NAP","NAP","../NAP/NAPa"
"0x10","VGT","Vegeta","VGT","VGT","VGT","VGT","VGT","VGT","../VGT/VGT"
"0x11","VG4","Vegeta (GT) (Super Saiyan 4)","VG4","VG4","VG4","../VGT/VGT","VG4","VG4","../CL4/CL4"
"0x12","GRD","Guldo","GRD","GRD","GRD","GRD","GRD","GRD","../PIC/PIC"
"0x13","BAT","Burter","BAT","BAT","BAT","BAT","BAT","BAT","../PIC/PIC"
"0x14","RCM","Recoome","RCM","RCM","RCM","RCM","RCM","RCM","../NAP/NAP"
"0x15","JES","Jeice","JES","JES","JES","JES","JES","JES","../NAP/NAP"
"0x16","GNY","Captain Ginyu","GNY","GNY","GNY","GNY","GNY","GNY","../GNY/GNY"
"0x17","FRZ","Frieza (First Form)","FRZ","FRZ","FRZ","FRZ","FRZ","FRZ","../FRZ/FRZa"
"0x18","FR4","Frieza (Final Form)","FR4","FR4","FR4","FR4","FR4","FR4","../CL4/CL4"
"0x19","FR5","Frieza (Final Form) (Full Power)","FR5","../FR4/FR4","../FR4/FR4","../FR4/FR4","../FR4/FR4","../FR4/FR4","../BRL/BRL"
"0x1a","TRX","Trunks","TRX","TRX","TRX","TRX","TRX","TRX","../VGT/VGT"
"0x1b","TRS","Trunks (Youth)","TRS","TRS","TRS","TRS","TRS","TRS","../NAP/NAP"
"0x1c","G17","Android 17","G17","G17","G17","G17","G17","G17","../G17/G17"
"0x1d","S17","Super 17","S17","S17","S17","S17","S17","S17","../BRL/BRL"
"0x1e","G18","Android 18","G18","G18","G18","G18","G18","G18","../G18/G18"
"0x1f","CL3","Perfect Cell","CL3","CL3","CL3","CL3","CL3","CL3","../CL3/CL3"
"0x20","CL4","Super Perfect Cell","../CL3/CL3","CL4","../CL3/CL3","../CL3/CL3","CL4","CL4","../CL4/CL4"
"0x21","CLJ","Cell Jr.","CLJ","CLJ","CLJ","CLJ","CLJ","CLJ","../NAP/NAP"
"0x22","VDL","Videl","VDL","VDL","VDL","VDL","VDL","VDL","../VDL/VDL"
"0x23","BUL","Majin Buu","BUL","BUL","BUL","BUL","BUL","BUL","../BUL/BUL"
"0x24","BUM","Super Buu","BUM","BUM","BUM","BUM","BUM","BUM","../BRL/BRL"
"0x25","BUS","Kid Buu","BUS","BUS","BUS","BUS","BUS","BUS","../CL4/CL4"
"0x26","GTX","Gotenks","GTX","GTX","GTX","GTX","GTX","GTX","../GTX/GTX"
"0x27","VTO","Vegito","VTO","VTO","VTO","VTO","VTO","VTO","../CL4/CL4"
"0x28","BRL","Broly (Legendary Super Saiyan)","BRL","BRL","BRL","BRL","BRL","BRL","../BRL/BRL"
"0x29","BLS","God of Destruction Beerus","BLS","BLS","BLS","BLS","BLS","BLS","../CL4/CL4"
"0x2a","PAN","Pan (GT)","PAN","PAN","PAN","PAN","PAN","PAN","../PAN/PAN"
"0x2b","GIL","Giru","GIL","../GHS/GHS","","../GHS/GHS","../GHS/GHS","../GHS/GHS","../PIC/PIC"
"0x2c","OSV","Vegeta (Great Ape)","OSV","OSV","OSV","OSV","OSV","OSV","../OSV/OSV"
"0x2d","OSB","Bardock (Great Ape)","OSB","../OSV/OSV","../OSV/OSV","../OSV/OSV","../OSV/OSV","../OSV/OSV","../OSV/OSV"
"0x2e","OBB","Baby (Great Ape)","OBB","../OSV/OSV","OBB","../OSV/OSV","../OSV/OSV","../OSV/OSV","../OSV/OSV"
"0x2f","PR1","Gamma 1","../FIO/FIO","../FIO/FIO","../FIO/FIO","../FIO/FIO","../FIO/FIO","../FIO/FIO","../VGT/VGT"
"0x30","SD3","Eis Shenron","SD3","SD3","SD3","SD3","SD3","SD3","../NAP/NAP"
"0x31","SD4","Nuova Shenron","SD4","SD4","SD4","SD4","SD4","SD4","../PIC/PIC"
"0x32","SD1","Omega Shenron","SD1","SD1","SD1","SD1","SD1","SD1","../SD1/SD1"
"0x33","GGT","Gogeta (GT) (Super Saiyan 4)","GGT","GGT","GGT","GGT","GGT","GGT","../CL4/CL4"
"0x34","STN","Hercule","STN","STN","STN","STN","STN","STN","../STN/STNa"
"0x35","DMG","Demon God Demigra","DMG","../DMP/DMP","DMG","../DMP/DMP","../DMP/DMP","../DMP/DMP","../NAP/NAP"
"0x36","DM2","Demon God Demigra (True Form)","DM2","DM2","DM2","../BRL/BRL","DM2","DM2","../NAP/NAP"
"0x37","PR2","Gamma 2","../FIT/FIT","../FIT/FIT","../FIT/FIT","../FIT/FIT","../FIT/FIT","../FIT/FIT","../VGT/VGT"
"0x38","SIN","Shenron","SIN","SIN","","../OSV/OSV","../OSV/OSV","../OSV/OSV","../CL4/CL4"
"0x39","TOK","Supreme Kai of Time","TOK","../TRS/TRS","TOK","../TRS/TRS","../TRS/TRS","../TRS/TRS","../CL4/CL4"
"0x3a","BUZ","Majin Buu (Small)","../BUL/BUL","../BUL/BUL","../BUL/BUL","../BUL/BUL","BUZ","BUZ","../CL4/CL4"
"0x3b","APL","Nabana","APL","APL","APL","APL","APL","APL","../KLL/KLL"
"0x3c","RSB","Raspberry","RSB","RSB","RSB","RSB","RSB","RSB","../KLL/KLL"
"0x3d","GHP","Gohan (4 Years Old)","GHP","../GKG/GKG","GHP","../GHS/GHS","../GHS/GHS","../GHS/GHS","../STN/STN"
"0x3e","MIR","Mira","MIR","MIR","MIR","MIR","MIR","MIR","../BRL/BRL"
"0x3f","TOW","Towa","TOW","TOW","TOW","TOW","TOW","TOW","../FRZ/FRZ"
"0x40","SHN","Supreme Kai","SHN","SHN","SHN","SHN","SHN","SHN","../NAP/NAP"
"0x41","WIS","Whis","WIS","WIS","WIS","WIS","WIS","WIS","../FRZ/FRZ"
"0x42","HST","Reception Robot","HST","HST","","../GHS/GHS","../GHS/GHS","../GHS/GHS","../CL4/CL4"
"0x43","JCO","Jaco","JCO","JCO","JCO","JCO","JCO","JCO","../NAP/NAP"
"0x45","EVG","Vegeta (Ultra Ego)","EVG","EVG","EVG","EVG","EVG","EVG","../VGT/VGT"
"0x47","POD","","POD","../GOK/GOK","","../GOK/GOK","../GOK/GOK","../GOK/GOK","../CL4/CL4"
"0x48","FRG","Captain Ginyu","FRG","../GHS/GHS","","../GHS/GHS","../GHS/GHS","../GHS/GHS","../CL4/CL4"
"0x49","STD","Hercule","../STN/STN","STD","../STN/STN","../STN/STN","STD","STD","../VGT/VGT"
"0x4a","OSN","Nappa (Great Ape)","OSN","../OSV/OSV","../OSV/OSV","../OSV/OSV","../OSV/OSV","../OSV/OSV","../OSV/OSV"
"0x4b","CL1","Imperfect Cell","CL1","CL1","CL1","CL1","CL1","CL1","../VGT/VGT"
"0x4c","TKT","Tokitoki","TKT","TKT","TKT","../GHS/GHS","TKT","../GHS/GHS","../CL4/CL4"
"0x4d","TK3","","../TKT/TKT","../TKT/TKT","../TKT/TKT","../GHS/GHS","../TKT/TKT","../GHS/GHS","../CL4/CL4"
"0x4e","ROK","Elder Kai","ROK","../HUF/HUF","ROK","../HUF/HUF","../HUF/HUF","../HUF/HUF","../CL4/CL4"
"0x50","GGK","Goku (Super Saiyan Blue)","GGK","GGK","GGK","GGK","../GOK/GOK","../GOK/GOK","../CL4/CL4"
"0x51","GVG","Vegeta (Super Saiyan Blue)","GVG","GVG","GVG","GVG","GVG","../VGT/VGT","../CL4/CL4"
"0x52","GFR","Golden Frieza","GFR","GFR","GFR","GFR","GFR","GFR","../GFR/GFR"
"0x53","G16","Android 16","G16","G16","G16","G16","G16","G16","../G16/G16"
"0x54","COL","Metal Cooler","COL","COL","COL","COL","COL","COL","../VGT/VGT"
"0x55","CO2","Cooler (Final Form)","CO2","CO2","CO2","CO2","CO2","CO2","../CO2/CO2"
"0x56","GHF","Gohan (Future)","GHF","GHF","GHF","GHF","GHF","GHF","../CL4/CL4"
"0x57","TLS","Turles","TLS","TLS","TLS","TLS","TLS","TLS","../BRL/BRL"
"0x58","JNB","Super Janemba","JNB","JNB","JNB","JNB","JNB","JNB","../BRL/BRL"
"0x59","FOF","???","FOF","../SYM/SYM","../HUM/HUM000L","../SYM/SYM","../SYM/SYM","../SYM/SYM","../CL4/CL4"
"0x60","NP1","","NP1","../HUM/HUM","../HUM/HUM000L","../HUM/HUM","../HUM/HUM","../HUM/HUM","../CL4/CL4"
"0x61","NP2","","NP2","../HUF/HUF","../HUF/HUF000L","../HUF/HUF","../HUF/HUF","../HUF/HUF","../CL4/CL4"
"0x62","NP3","","NP3","../NMC/NMC","../NMC/NMC000L","../NMC/NMC","../NMC/NMC","../NMC/NMC","../CL4/CL4"
"0x63","NP4","","NP4","../MAF/MAF","../MAF/MAF000L","../MAF/MAF","../MAF/MAF","../MAF/MAF","../CL4/CL4"
"0x64","HUM","","HUM","HUM","HUM000L","HUM","HUM","HUM","../CL4/CL4"
"0x65","HUF","","HUF","HUF","HUF000L","HUF","HUF","HUF","../CL4/CL4"
"0x66","SYM","","../HUM/HUM","SYM","../HUM/HUM000L","SYM","SYM","SYM","../CL4/CL4"
"0x67","SYF","","../HUF/HUF","SYF","../HUF/HUF000L","SYF","SYF","SYF","../CL4/CL4"
"0x68","NMC","","NMC","NMC","NMC000L","NMC","NMC","NMC","../CL4/CL4"
"0x69","FRI","","FRI","FRI","FRI000L","FRI","FRI","FRI","../CL4/CL4"
"0x6a","MAM","","MAM","MAM","MAM000L","MAM","MAM","MAM","../CL4/CL4"
"0x6b","MAF","","MAF","MAF","MAF000L","MAF","MAF","MAF","../CL4/CL4"
"0x6c","MAP","","MAP","MAP","../BUS/BUS","","MAP","MAP","../CL4/CL4"
"0x6e","TE0","Majuub","TE0","TE0","TE0","TE0","TE0","TE0","../TE0/TE0"
"0x6f","TE1","Android 21","TE1","TE1","TE1","TE1","TE1","TE1","../CL4/CL4"
"0x70","EL0","Supreme Kai of Time","EL0","EL0","EL0","EL0","EL0","EL0","../CL4/CL4"
"0x71","TWP","Pikkon","TWP","TWP","TWP","TWP","TWP","TWP","../PIC/PIC"
"0x72","TWT","Toppo (God of Destruction)","TWT","TWT","TWT","TWT","TWT","TWT","../TWT/TWT"
"0x73","THJ","Jiren (Full Power)","THJ","THJ","THJ","THJ","THJ","THJ","../THJ/THJ"
"0x74","THG","Gogeta (Super)","THG","THG","THG","THG","THG","THG","../THG/THG"
"0x75","THC","Caulifla","THC","THC","THC","THC","THC","THC","../CL4/CL4"
"0x76","THK","Kale (Super Saiyan 2)","THK","THK","THK","THK","THK","THK","../CL4/CL4"
"0x78","GG1","Gogeta (Super Saiyan)","GG1","GG1","GG1","GG1","GG1","GG1","../CL4/CL4"
"0x79","SLG","Lord Slug","SLG","SLG","SLG","SLG","SLG","SLG","../BRL/BRL"
"0x7a","ZBN","Zarbon","ZBN","ZBN","ZBN","ZBN","ZBN","ZBN","../PIC/PIC"
"0x7b","DDR","Dodoria","DDR","DDR","DDR","DDR","DDR","DDR","../NAP/NAP"
"0x7c","NIL","Nail","NIL","NIL","NIL","NIL","NIL","NIL","../PIC/PIC"
"0x7d","MRN","Mira (Towa Absorbed)","MRN","MRN","MRN","MRN","MRN","MRN","../CL4/CL4"
"0x7e","HIT","Hit","HIT","HIT","HIT","HIT","HIT","HIT","../HIT/HIT"
"0x7f","DND","Dende","DND","../SD1/SD1","DND","../SD1/SD1","../SD1/SD1","../SD1/SD1","../CL4/CL4"
"0x80","SCR","Guru","SCR","../SD1/SD1","SCR","../SD1/SD1","../SD1/SD1","../SD1/SD1","../CL4/CL4"
"0x81","BLM","Bulma","BLM","../G18/G18","BLM","../G18/G18","../G18/G18","../G18/G18","../CL4/CL4"
"0x82","JNG","Super Janemba","JNG","../JNB/JNB","../JNB/JNB","../JNB/JNB","../JNB/JNB","../JNB/JNB","../CL4/CL4"
"0x83","GKB","Goku Black","GKB","GKB","GKB","GKB","../GOK/GOK","../GOK/GOK","../BRL/BRL"
"0x84","TRF","Trunks (Super)","TRF","../TRX/TRX","TRF","../TRX/TRX","../TRX/TRX","../TRX/TRX","../VGT/VGT"
"0x85","FRS","Frost (Final Form)","FRS","FRS","FRS","FRS","FRS","FRS","../CL4/CL4"
"0x86","CAB","Cabba","CAB","CAB","CAB","CAB","CAB","CAB","../CAB/CAB"
"0x87","HIK","Hit (Awoken)","../HIT/HIT","HIK","../HIT/HIT","../HIT/HIT","HIK","../HIT/HIT","../HIK/HIK"
"0x88","VDS","Vados","VDS","VDS","VDS","VDS","VDS","VDS","../FRZ/FRZ"
"0x89","CMP","God of Destruction Champa","CMP","CMP","CMP","CMP","CMP","CMP","../CL4/CL4"
"0x8a","ZMS","Zamasu","ZMS","ZMS","ZMS","ZMS","ZMS","ZMS","../ZMS/ZMS"
"0x8b","GBR","Goku Black (Super Saiyan Rosé)","GBR","GBR","GBR","GBR","GBR","GBR","../BRL/BRL"
"0x8c","BJK","Bojack","BJK","BJK","BJK","BJK","BJK","BJK","../VGT/VGT"
"0x8d","VTB","Vegito (Super Saiyan Blue)","VTB","VTB","../VTO/VTO","VTB","VTB","VTB","../CL4/CL4"
"0x8e","ZMG","Fused Zamasu","ZMG","ZMG","ZMG","ZMG","ZMG","ZMG","../BRL/BRL"
"0x8f","ZMD","Fused Zamasu (Half-Corrupted)","ZMD","ZMD","ZMD","ZMD","ZMD","ZMD","../BRL/BRL"
"0x90","BUU","Super Buu (Gohan Absorbed)","BUU","BUU","BUU","BUU","BUU","BUU","../CL4/CL4"
"0x91","DBR","Dabura","DBR","DBR","DBR","DBR","DBR","DBR","../DBR/DBR"
"0x92","G13","Android 13","G13","G13","G13","G13","G13","G13","../BRL/BRL"
"0x93","TPO","Tapion","TPO","TPO","TPO","TPO","TPO","TPO","../VGT/VGT"
"0x94","R17","Android 17 (Super)","R17","R17","../G17/G17","R17","R17","R17","../VGT/VGT"
"0x95","JRN","Jiren","JRN","JRN","JRN","JRN","JRN","JRN","../VGT/VGT"
"0x96","FUU","Fu","FUU","FUU","FUU","FUU","FUU","FUU","../VGT/VGT"
"0x97","GKS","Goku (Ultra Instinct)","GKS","GKS","GKS","GKS","GKS","GKS","../NAP/NAP"
"0x98","KFL","Kefla","KFL","KFL","KFL","KFL","KFL","KFL","../KFL/KFL"
"0x99","SB2","Super Baby Vegeta 2","SB2","SB2","SB2","SB2","SB2","SB2","../NAP/NAP"
"0x9a","TM0","Gogeta (Super Saiyan Blue)","TM0","TM0","TM0","TM0","TM0","TM0","../TM0/TM0"
"0x9b","TM1","Broly (Full Power) (Super Saiyan)","TM1","TM1","TM1","TM1","TM1","TM1","../TM1/TM1"
"0x9c","NI0","Ribrianne","NI0","NI0","NI0","NI0","NI0","NI0","../NI0/NI0"
