"character_id","costume_id","model_preset","label","skill_ids"
"0x0","0x0","0","Goku - Turtle Gi 1","0, 40, 123, 591, 5000, 65535, 10001, 21080, 65535"
"0x0","0xa","1","Goku - Turtle Gi (Festival)","0, 2, 5, 593, 5000, 5009, 10000, 21080, 25009"
"0x0","0x12","1","Goku - 18","0, 2, 5, 593, 5000, 5009, 10000, 21080, 25009"
"0x0","0x12","0","Goku - Whis Symbol Gi","0, 2, 5, 16, 5000, 65535, 10000, 21080, 25009"
"0x0","0x11","0","Goku - Turtle Gi 12","0, 596, 115, 593, 5000, 5004, 10000, 21080, 25009"
"0x0","0xf","0","Goku - Turtle Gi 16","0, 3, 5, 593, 5000, 65535, 10000, 21080, 25009"
"0x0","0xe","0","Captain Ginyu - Goku","222, 164, 52, 223, 5220, 65535, 10130, 21082, 65535"
"0x0","0xd","0","Goku - Turtle Gi 14","597, 596, 5, 593, 5000, 65535, 10341, 21080, 25009"
"0x0","0xc","0","Goku - Turtle Gi 7","0, 594, 115, 16, 5000, 65535, 10000, 21080, 25005"
"0x0","0xa","0","Goku - Turtle Gi 15","0, 2, 5, 16, 5000, 5040, 10000, 21080, 25009"
"0x0","0xb","0","Goku - Turtle Gi 6","0, 595, 32, 592, 5000, 5006, 10000, 21080, 25005"
"0x0","0x8","0","Goku - Turtle Gi 5","8, 7, 123, 4, 5005, 65535, 10341, 21080, 25005"
"0x0","0x7","0","Goku - Turtle Gi 9","0, 2, 115, 592, 5000, 5007, 10000, 21080, 25007"
"0x0","0x6","0","Goku - Turtle Gi 11","0, 2, 5, 592, 5800, 5050, 10101, 21080, 25007"
"0x0","0x5","0","Goku - Turtle Gi 10","0, 596, 22, 592, 5800, 5050, 10101, 21080, 25007"
"0x0","0x4","0","Goku - Turtle Gi 8","0, 595, 115, 592, 5000, 65535, 10000, 21080, 25007"
"0x0","0x3","0","Goku - Turtle Gi 4","0, 164, 125, 16, 5050, 65535, 10101, 21080, 25005"
"0x0","0x2","0","Goku - Turtle Gi 3","0, 31, 115, 591, 5000, 65535, 10341, 21080, 65535"
"0x0","0x1","0","Goku - Turtle Gi 2","1, 31, 32, 124, 5000, 65535, 10341, 21080, 65535"
"0x0","0x0","50","Goku - 0","0, 40, 123, 591, 5000, 65535, 10001, 21080, 65535"
"0x0","0x9","0","Goku - Turtle Gi 13","0, 596, 5, 592, 5800, 5050, 10000, 21080, 25009"
"0x1","0x3","1","Masked Saiyan - Battle Armor 1","12, 596, 543, 538, 5011, 5010, 10130, 21080, 65535"
"0x1","0x7","0","Bardock - Time Patroller Armor","12, 11, 10, 593, 5010, 5011, 10160, 21080, 25009"
"0x1","0x5","0","Bardock - Battle Armor 4","12, 11, 10, 593, 5010, 5011, 10160, 21080, 25009"
"0x1","0x3","0","Masked Saiyan - Battle Armor 1","533, 596, 623, 593, 5011, 65535, 10130, 21080, 65535"
"0x1","0x4","0","Masked Saiyan - Battle Armor 2","533, 596, 623, 593, 5011, 5012, 10130, 21080, 65535"
"0x1","0x1","0","Bardock - Battle Armor 3","597, 11, 10, 16, 5010, 65535, 10160, 21080, 65535"
"0x1","0x0","0","Bardock - Battle Armor 1","12, 596, 14, 591, 5013, 65535, 10340, 21080, 65535"
