"table","id","type","display_name","stars","name_id","description_id","dlc_flag","race_lock","model","buy","sell","tp","stp"
"accessory_item.idb","0","0x8","Piccolo's Turban","1","0x0","0x0","0xffff","0xff","509","0","400","5","5"
"accessory_item.idb","1","0x8","Pan's Bandana","5","0x1","0x1","0x1d","0xff","534","0","12000","25","25"
"accessory_item.idb","2","0x8","Dr. Gero's Hat","2","0x2","0x2","0x1d","0xff","601","6000","3000","1","1"
"accessory_item.idb","3","0x8","Android 19's Hat","2","0x3","0x3","0x1d","0xff","602","6000","3000","1","1"
"accessory_item.idb","4","0x8","Great Saiyaman Helmet","2","0x4","0x4","0x1d","0xff","604","0","2000","10","10"
"accessory_item.idb","5","0x8","Chi-Chi's Helmet","3","0x5","0x5","0x1d","0x8a","610","12000","6000","2","2"
"accessory_item.idb","6","0x8","The Ox-King's Helmet","3","0x6","0x6","0x1d","0x75","611","10000","5000","2","2"
"accessory_item.idb","7","0x8","Spike the Devil Man's Head","3","0x7","0x7","0xffff","0xff","612","0","4000","7","7"
"accessory_item.idb","8","0x8","Mr. Popo's Turban","3","0x8","0x8","0xffff","0xff","616","0","4000","7","7"
"accessory_item.idb","9","0x8","Saiyuki Hood","4","0x9","0x9","0xffff","0xff","619","0","12500","7","7"
"accessory_item.idb","10","0x8","Launch Wig","3","0xa","0xa","0xffff","0x8a","623","0","10000","7","7"
"accessory_item.idb","11","0x8","King Kai's Hat","3","0xb","0xb","0xffff","0xff","625","8000","4000","2","2"
"accessory_item.idb","12","0x8","General Blue's Army Cap","3","0xc","0xc","0x1d","0xff","627","8000","4000","2","2"
"accessory_item.idb","13","0x8","Bandages the Mummy's Head","2","0xd","0xd","0xffff","0xff","628","0","3500","3","3"
"accessory_item.idb","14","0x8","Fortuneteller Baba's Hat","3","0xe","0xe","0x1d","0x8a","629","10000","5000","2","2"
"accessory_item.idb","15","0x8","Pilaf's Hat","1","0xf","0xf","0x1d","0xff","630","3500","1750","1","1"
"accessory_item.idb","16","0x8","Angel Halo","5","0x10","0x10","0x1d","0xff","831","45000","22500","3","3"
"accessory_item.idb","17","0x8","Goku Wig","1","0x11","0x11","0xffff","0xff","832","0","1000","5","5"
"accessory_item.idb","18","0x8","Goku Wig (Super Saiyan)","2","0x12","0x12","0x1d","0xff","833","0","3000","10","10"
"accessory_item.idb","19","0x8","Hercule Wig","3","0x13","0x13","0x1d","0xff","834","15000","7500","2","2"
"accessory_item.idb","20","0x8","Master Shen's Hat","2","0x14","0x14","0x1d","0xff","835","4500","2250","1","1"
"accessory_item.idb","21","0x8","Soft Hat","2","0x15","0x15","0xffff","0xff","836","5000","2500","1","1"
"accessory_item.idb","22","0x8","Great Saiyaman Bandana 1","1","0x16","0x16","0x1d","0xff","837","0","500","5","5"
"accessory_item.idb","23","0x8","Great Saiyaman Bandana 2","1","0x17","0x17","0x1d","0xff","838","0","400","5","5"
"accessory_item.idb","24","0x8","Sedge Hat","1","0x18","0x18","0xffff","0xff","839","800","400","1","1"
"accessory_item.idb","25","0x8","Krillin's Cap","2","0x19","0x19","0xffff","0xff","840","3000","1500","1","1"
"accessory_item.idb","26","0x8","Ox-King's Cap","3","0x1a","0x1a","0x1d","0xff","841","10000","5000","2","2"
"accessory_item.idb","27","0x8","Arale-chan's Cap","5","0x1b","0x1b","0xffff","0xff","843","0","25000","10","10"
"accessory_item.idb","28","0x8","Sunglasses (World Tournament Anncr.)","1","0x1c","0x1c","0xffff","0xff","844","800","400","1","1"
"accessory_item.idb","29","0x8","Sunglasses (King Kai)","3","0x1d","0x1d","0xffff","0xff","845","10000","5000","2","2"
"accessory_item.idb","30","0x8","Glasses (Cell Game Commentator)","1","0x1e","0x1e","0x1d","0xff","846","1000","500","1","1"
"accessory_item.idb","31","0x8","Glasses (Gohan)","2","0x1f","0x1f","0xffff","0xff","847","0","2000","3","3"
"accessory_item.idb","32","0x8","Sunglasses (Turtle Hermit 1)","1","0x20","0x20","0xffff","0xff","848","1600","800","1","1"
"accessory_item.idb","33","0x8","Sunglasses (Turtle Hermit 2)","4","0x21","0x21","0xffff","0xff","849","0","12000","7","7"
"accessory_item.idb","34","0x8","Yurin's Talisman","5","0xcf","0xce","0xffff","0xff","10008","0","50000","0","10"
"accessory_item.idb","35","0x8","Mustache Glasses","1","0x23","0x23","0xffff","0xff","851","0","500","5","5"
"accessory_item.idb","36","0x8","Turtle Hermit's Beard","4","0x24","0x24","0xffff","0xff","852","0","12000","7","7"
