"category","id","id2","code","display_name","race_lock","skill_type","pup_id","aura","partset","model"
"SuperSkills","0","0","KMH","Kamehameha","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","1","1","KMC","Bending Kamehameha","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","2","2","CSG","Super God Fist","0x0","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","3","3","CRG","Super Dragon Fist","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","4","4","GKD","Spirit Bomb","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","5","5","SKI","Instant Transmission","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","6","6","GTW","Spirit Bomb Tower (Time Patrol Specific)","0x0","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","7","7","AST","Kaioken Assault","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","8","8","4KM","Kaioken Kamehameha","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","9","9","KMQ","","0x0","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","10","10","RJV","Riot Javelin","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","11","11","TSN","Rebellion Spear","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","12","12","FPW","Tyrant Lancer","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","13","13","TST","Rebellion Spear","0x0","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","14","14","SPG","Super Guard","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","15","15","KBH","Ki Explosion","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","16","16","REN","Charged Ki Wave","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","17","17","RJC","Riot Javelin","0x0","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","18","18","BDKK","","0x0","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","20","20","ZZK","Afterimage Strike","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","21","21","10K","x10 Kamehameha","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","22","22","SAI","Super Afterimage","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","30","30","CSA","Super God Fist","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","31","31","SWV","Shockwave","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","32","32","BKF","Backflip","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","33","33","BKG","Backflip","0x0","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","34","34","GODS","God Combination (Festival)","0x0","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","35","35","GBD","God Bind","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","36","36","GBR","Gravity Bash","0xff","0x1","0x80","0xffff","65535","0xffff"
"SuperSkills","40","40","KMB","Kamehameha Boost","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","41","41","JAN","Scissors Paper Rock","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","42","42","NY2","Power Pole","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","43","43","NY3","Power Pole Combo","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","44","44","NYG","Power Pole","0x0","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","50","50","TGK","Charge","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","51","51","ISI","Stone Bullet","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","52","52","RPG","Consecutive Energy Blast","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","53","53","KKM","Kamekameha","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","54","54","GTGK","Charge (Festival)","0x0","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","60","60","TDK","Evil Ray Strike","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","61","61","KTZ","Evil Rise Strike","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","62","62","MSK","Masenko","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","63","63","ISK","Menacing Flare","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","70","70","RSG","Super Dragon Flight","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","71","71","MSP","Evil Whirlwind","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","80","80","RUS","Burst Rush","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","81","81","KIH","Ki Blast Cannon","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","82","82","GSY","Justice Pose","0xff","0x3","0x1","0xffff","65535","0xffff"
"SuperSkills","90","90","BRM","Evil Explosion","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","91","91","PRT","Wall of Defense","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","92","92","MKZ","Evil Flight Strike","0x94","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","93","93","KDN","Light Grenade","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","94","94","EYE","Evil Eyes","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","95","95","SMK","Dust Attack","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","96","96","MYS","Paralyze Beam","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","97","97","SNC","Sonic Kick","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","98","98","PICK","Hellzone Grenade (Festival)","0x0","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","100","100","KDH","Orin Combo","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","101","101","KEZ","Destructo-Disc","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","102","102","3XK","Kaioken","0xff","0x2","0x2","0xffff","65535","0xffff"
"SuperSkills","103","103","5XK","X3 Kaioken","0xff","0x2","0x3","0xffff","65535","0xffff"
"SuperSkills","104","104","0XK","X20 Kaioken","0xff","0x2","0x4","0xffff","65535","0xffff"
"SuperSkills","105","105","BBS","Turtle Style Last Resort","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","106","106","YMM","Lullaby Punch","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","107","107","TXK","Cross Arm Dive","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","108","108","BKZ","Super Destructo-Disc","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","109","109","JMP","Jumping Energy Wave","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","110","110","RWK","Wolf Fang Fist","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","111","111","SKD","Ki Blast Thrust","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","115","115","ZZA","Afterimage","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","116","116","DIE","Fake Death","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","117","117","SWK","Neo Wolf Fang Fist","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","120","120","DDP","Dodon Ray","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","121","121","KKH","Tri-Beam","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","122","122","HKK","Volleyball Fist","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","123","123","TYK","Solar Flare","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","124","124","GRE","Rise to Action","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","125","125","ANG","Spirit Boost","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","130","130","SUN","Double Sunday","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","131","131","SAT","Saturday Crash","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","132","132","FRI","Shining Friday","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","133","133","RADK","Double Sunday (Festival)","0x0","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","140","140","YKE","Acid","0x0","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","141","141","DOK","Poison","0x0","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","142","142","BEM","Saibabeam","0x0","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","143","143","YKR","Acid","0x0","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","144","144","BMR","Saibabeam","0x0","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","150","150","DXB","Bomber DX","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","151","151","GCS","Genocide Shell","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","152","152","ARC","Arm Crash","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","153","153","MDG","Murder Grenade","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","154","154","ART","Arm Crash","0x0","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","155","155","NAPK","Arm Crash (Festival)","0x0","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","160","160","GLC","Galick Gun","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","161","161","FST","Flash Strike","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","162","162","FNB","Finish Breaker","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","163","163","SHN","Shine Shot","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","164","164","HMR","Sledgehammer","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","165","165","ATM","Atomic Blast","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","166","166","BOM","Mighty Explosive Wave","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","167","167","GLX","Earth Splitting Galick Gun","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","168","168","VGTS","Galaxy Breaker (Festival)","0x0","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","180","180","STP","Time Control","0xff","0x4","0xffff","0xffff","65535","0xffff"
"SuperSkills","182","182","GFC","Fighting Pose A (Guldo)","0x0","0x3","0x5","0xffff","65535","0xffff"
"SuperSkills","183","183","FPC","Fighting Pose B (Guldo)","0xff","0x3","0x6","0xffff","65535","0xffff"
"SuperSkills","184","184","FPH","Fighting Pose C (Guldo)","0xff","0x3","0x7","0xffff","65535","0xffff"
"SuperSkills","190","190","FPD","Fighting Pose A (Burter)","0xff","0x3","0x8","0xffff","65535","0xffff"
"SuperSkills","191","191","FPI","Fighting Pose B (Burter)","0xff","0x3","0x9","0xffff","65535","0xffff"
"SuperSkills","192","192","MAP","Mach Punch","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","193","193","MAK","Mach Kick","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","200","200","ERG","Recoome Eraser Gun","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","201","201","RCK","Recoome Kick","0xff","0x0","0xca","0xffff","65535","0xffff"
"SuperSkills","202","202","FPE","Fighting Pose A (Recoome)","0xff","0x3","0xa","0xffff","65535","0xffff"
"SuperSkills","203","203","FPJ","Fighting Pose B (Recoome)","0xff","0x3","0xb","0xffff","65535","0xffff"
"SuperSkills","204","204","FPK","Fighting Pose C (Recoome)","0xff","0x3","0xc","0xffff","65535","0xffff"
"SuperSkills","210","210","CSB","Crusher Ball","0xff","0x1","0xffff","0xffff","65535","0xffff"
"SuperSkills","211","211","BLD","Sauzer Blade","0xff","0x0","0xffff","0xffff","65535","0xffff"
"SuperSkills","212","212","FPB","Fighting Pose A (Jeice)","0xff","0x3","0xd","0xffff","65535","0xffff"
"SuperSkills","213","213","FPG","Fighting Pose B (Jeice)","0xff","0x3","0xe","0xffff","65535","0xffff"
